ESTACION,nom_estac,registros,episodios_reales,episodios_predichos,precision,recall,f1
AJM,Ajusco Medio,5700.0,292.0,49.0,0.20408163265306123,0.03424657534246575,0.05865102639296188
BJU,Benito Juárez,4920.0,408.0,526.0,0.311787072243346,0.4019607843137255,0.3511777301927195
FAR,FES Aragón,1532.0,40.0,53.0,0.07547169811320754,0.1,0.08602150537634409
GAM,Gustavo A. Madero,6199.0,695.0,671.0,0.4172876304023845,0.4028776978417266,0.40995607613469986
INN,Investigaciones Nucleares,4036.0,65.0,19.0,0.0,0.0,0.0
MER,Merced,7665.0,779.0,1095.0,0.38082191780821917,0.5353016688061617,0.4450373532550694
MON,Montecillo,166.0,30.0,20.0,0.4,0.26666666666666666,0.32
MPA,Milpa Alta,2798.0,82.0,2.0,0.0,0.0,0.0
NEZ,Nezahualcóyotl,5641.0,549.0,481.0,0.3201663201663202,0.28051001821493626,0.29902912621359223
PED,Pedregal,7859.0,382.0,158.0,0.22784810126582278,0.09424083769633508,0.13333333333333333
SAC,Santiago Acahualtepec,1792.0,317.0,509.0,0.37721021611001965,0.6056782334384858,0.4648910411622276
SAG,San Agustín,1482.0,157.0,294.0,0.3299319727891156,0.6178343949044586,0.43015521064301554
UAX,UAM Xochimilco,7824.0,369.0,117.0,0.1282051282051282,0.04065040650406504,0.06172839506172839
UIZ,UAM Iztapalapa,2524.0,126.0,308.0,0.15584415584415584,0.38095238095238093,0.22119815668202766
