ESTACION,nom_estac,registros,MAE_RF,error_promedio
MON,Montecillo,166,13.95494079529727,3.6391075523001533
NEZ,Nezahualcóyotl,5641,8.000138981276688,0.1892264112263122
UAX,UAM Xochimilco,7824,7.977734226538663,-3.4673905761908275
GAM,Gustavo A. Madero,6199,7.784785455407264,0.5576857059506953
SAC,Santiago Acahualtepec,1792,7.519956679499233,-1.279211902322405
MER,Merced,7665,7.461983574170524,-1.4207486692110716
UIZ,UAM Iztapalapa,2524,7.348668726258191,-2.582910489913726
BJU,Benito Juárez,4920,7.3042035184444,-0.8181090517577755
PED,Pedregal,7859,6.940653370671926,-0.5298295553118637
SAG,San Agustín,1482,6.830962924258941,-0.5900567713225844
AJM,Ajusco Medio,5700,6.783440716327982,0.8514609076257361
FAR,FES Aragón,1532,6.599853481476492,-1.5605555388454195
INN,Investigaciones Nucleares,4036,6.352308702569058,-2.6878811502946243
MPA,Milpa Alta,2798,6.074753953261118,2.692248257354566
