ANIO,MES,PM25
2024,1,19.387774480712167
2024,2,20.78104219562326
2024,3,23.917751422235078
2024,4,25.060628272251307
2024,5,29.17053388090349
2024,6,18.261845102505696
2024,7,16.478510028653297
2024,8,14.030358097274185
2024,9,16.353961556493203
2024,10,16.73074915165753
2024,11,21.183537031233676
2024,12,22.54598765432099
2025,1,21.460077519379844
2025,2,20.752386146713935
2025,3,22.184991936248935
2025,4,23.67335803994235
2025,5,22.235023041474655
2025,6,14.35244099105703
2025,7,16.028643415992573
2025,8,13.886404523258802
2025,9,13.330883581092367
2025,10,15.09886572654813
2025,11,23.152123995407578
2025,12,23.09905442804428
