ESTACION,nom_estac,longitud,latitud,alt,registros,promedio_pm25,mediana_pm25,maximo_pm25,desviacion_pm25
AJM,Ajusco Medio,-99.207744,19.272161,2548.0,13307,17.41,15.0,98.0,10.68
AJU,Ajusco,-99.162611,19.154286,2942.0,2101,16.71,16.0,92.0,8.98
BJU,Benito Juárez,-99.159596,19.370464,2249.0,11643,21.12,19.0,159.0,12.26
CAM,Camarones,-99.169794,19.468404,2233.0,12409,22.66,21.0,142.0,12.83
CCA,Centro de Ciencias de la Atmósfera,-99.176111,19.326111,2294.0,16198,17.06,15.0,109.0,10.22
FAR,FES Aragón,-99.046176,19.473692,2230.0,13024,18.71,17.0,195.0,11.6
GAM,Gustavo A. Madero,-99.094517,19.4827,2227.0,10751,21.53,20.0,98.0,12.64
HGM,Hospital General de México,-99.152207,19.411617,2234.0,5856,21.9,20.0,173.0,12.32
INN,Investigaciones Nucleares,-99.38052,19.291968,3082.0,8591,14.73,13.0,141.0,9.87
MER,Merced,-99.119594,19.42461,2245.0,14976,21.97,20.0,160.0,12.85
MON,Montecillo,-98.902853,19.460415,2252.0,5935,20.74,18.0,160.0,13.57
MPA,Milpa Alta,-98.990189,19.1769,2594.0,11888,16.89,15.0,133.0,10.85
NEZ,Nezahualcóyotl,-99.028212,19.393734,2235.0,10263,21.09,19.0,268.0,14.74
PED,Pedregal,-99.204136,19.325146,2326.0,15450,18.27,16.0,129.0,10.81
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293.0,12178,26.17,24.0,312.0,16.25
SAG,San Agustín,-99.030324,19.532968,2241.0,7495,23.04,21.0,227.0,12.56
TLA,Tlalnepantla,-99.204597,19.529077,2311.0,12576,21.87,20.0,102.0,12.33
UAX,UAM Xochimilco,-99.103629,19.304441,2246.0,11239,18.72,17.0,148.0,11.59
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221.0,10978,21.84,20.0,236.0,13.03
